Registration Number,Make,Model,Year,Capacity,Operator ID,Route ID,Status,Features
"AB-1001","Tata","Starbus",2021,52,"68e2018b0a047400d5606658","68e2018a0a047400d560662b","active","AC; USB Charging"
"AC-1002","Mercedes-Benz","OF-1830",2022,60,"68e2018b0a047400d5606658","68e2018a0a047400d5606634","active",""
"AD-1003","Volvo","B9R",2023,45,"68e2018b0a047400d5606658","68e2018a0a047400d560663d","active","AC; WiFi; USB Charging; Reclining Seats"
"AE-1004","Hino","RK8",2024,52,"68e2018b0a047400d5606658","68e2018a0a047400d5606644","active","AC; USB Charging"
"AF-1005","Ashok Leyland","Viking",2020,60,"68e2018b0a047400d5606658","68e2018a0a047400d560664c","active",""
"BG-1006","Tata","Starbus",2021,45,"68e2018b0a047400d5606659","68e2018a0a047400d5606620","active","AC; WiFi; USB Charging; Reclining Seats"
"BH-1007","Mercedes-Benz","OF-1830",2022,52,"68e2018b0a047400d5606659","68e2018a0a047400d560662b","active","AC; USB Charging"
"BI-1008","Volvo","B9R",2023,60,"68e2018b0a047400d5606659","68e2018a0a047400d5606634","active",""
"BJ-1009","Hino","RK8",2024,45,"68e2018b0a047400d5606659","68e2018a0a047400d560663d","active","AC; WiFi; USB Charging; Reclining Seats"
"BK-1010","Ashok Leyland","Viking",2020,52,"68e2018b0a047400d5606659","68e2018a0a047400d5606644","maintenance","AC; USB Charging"
"BL-1011","Tata","Starbus",2021,60,"68e2018b0a047400d5606659","68e2018a0a047400d560664c","active",""
"CM-1012","Mercedes-Benz","OF-1830",2022,45,"68e2018b0a047400d560665a","68e2018a0a047400d5606620","active","AC; WiFi; USB Charging; Reclining Seats"
"CN-1013","Volvo","B9R",2023,52,"68e2018b0a047400d560665a","68e2018a0a047400d560662b","active","AC; USB Charging"
"CO-1014","Hino","RK8",2024,60,"68e2018b0a047400d560665a","68e2018a0a047400d5606634","active",""
"CP-1015","Ashok Leyland","Viking",2020,45,"68e2018b0a047400d560665a","68e2018a0a047400d560663d","active","AC; WiFi; USB Charging; Reclining Seats"
"CQ-1016","Tata","Starbus",2021,52,"68e2018b0a047400d560665a","68e2018a0a047400d5606644","active","AC; USB Charging"
"DR-1017","Mercedes-Benz","OF-1830",2022,60,"68e2018b0a047400d560665b","68e2018a0a047400d560664c","active",""
"DS-1018","Volvo","B9R",2023,45,"68e2018b0a047400d560665b","68e2018a0a047400d5606620","active","AC; WiFi; USB Charging; Reclining Seats"
"DT-1019","Hino","RK8",2024,52,"68e2018b0a047400d560665b","68e2018a0a047400d560662b","active","AC; USB Charging"
"DU-1020","Ashok Leyland","Viking",2020,60,"68e2018b0a047400d560665b","68e2018a0a047400d5606634","maintenance",""
"DV-1021","Tata","Starbus",2021,45,"68e2018b0a047400d560665b","68e2018a0a047400d560663d","active","AC; WiFi; USB Charging; Reclining Seats"
"DW-1022","Mercedes-Benz","OF-1830",2022,52,"68e2018b0a047400d560665b","68e2018a0a047400d5606644","active","AC; USB Charging"
"EX-1023","Volvo","B9R",2023,60,"68e2018b0a047400d560665c","68e2018a0a047400d560664c","active",""
"EY-1024","Hino","RK8",2024,45,"68e2018b0a047400d560665c","68e2018a0a047400d5606620","active","AC; WiFi; USB Charging; Reclining Seats"
"EZ-1025","Ashok Leyland","Viking",2020,52,"68e2018b0a047400d560665c","68e2018a0a047400d560662b","active","AC; USB Charging"
"EA-1026","Tata","Starbus",2021,60,"68e2018b0a047400d560665c","68e2018a0a047400d5606634","active",""
"EB-1027","Mercedes-Benz","OF-1830",2022,45,"68e2018b0a047400d560665c","68e2018a0a047400d560663d","active","AC; WiFi; USB Charging; Reclining Seats"
